source_row,split
30633,train
98857,train
80498,train
73981,train
70633,train
65034,train
16266,train
75262,train
58866,train
5320,train
72937,train
93033,train
85064,train
3519,train
4010,train
30623,train
52315,train
24239,train
84851,train
103519,train
81524,train
54210,train
81532,train
49061,train
36530,train
80704,train
33023,train
27060,train
19164,train
66565,train
1931,train
98572,train
66592,train
54932,train
100944,train
4756,train
96556,train
20764,train
56079,train
32571,train
47810,train
89466,train
97931,train
84012,train
33525,train
12796,train
11747,train
66451,train
13529,train
50394,train
43023,train
5647,train
66372,train
13891,train
21922,train
49807,train
27671,train
15479,train
90264,train
60752,train
102292,train
11693,train
21541,train
824,train
103874,train
25619,train
36383,train
83793,train
58529,train
49373,train
65667,train
97589,train
55898,train
31677,train
52526,train
25593,train
3296,train
40666,train
77834,train
3983,train
80167,train
24249,train
18415,train
18933,train
69027,train
53374,train
89493,train
96071,train
46327,train
13281,train
63707,train
2721,train
62650,train
95086,train
43046,train
1032,train
17672,train
55913,train
36504,train
96653,train
100873,train
11752,train
54794,train
30554,train
36079,train
32733,train
81404,train
916,train
19139,train
31603,train
6161,train
57530,train
60182,train
61517,train
65046,train
18086,train
70850,train
69455,train
1139,train
37190,train
23486,train
67281,train
80678,train
81914,train
75855,train
47288,train
15246,train
53319,train
25714,train
38597,train
65281,train
40058,train
23961,train
46591,train
101901,train
82428,train
63389,train
44602,train
14572,train
24964,train
49008,train
13468,train
95799,train
21464,train
60837,train
7362,train
21038,train
59815,train
28694,train
57862,train
1258,train
67485,train
32836,train
78088,train
16898,train
2424,train
88160,train
72143,train
55466,train
14207,train
94508,train
28537,train
93422,train
93638,train
99360,train
48326,train
7423,train
98465,train
14743,train
28316,train
19706,train
5284,train
75934,train
64969,train
47189,train
99497,train
97353,train
95426,train
23761,train
86289,train
48390,train
55843,train
25735,train
71001,train
20407,train
49404,train
16342,train
49318,train
100060,train
18583,train
101764,train
14336,train
43558,train
67973,train
82210,train
88969,train
22398,train
91048,train
49528,train
3662,train
92386,train
5974,train
46440,train
32787,train
1464,train
31693,train
88972,train
21815,train
99869,train
101565,train
72562,train
91237,train
46383,train
27057,train
74002,train
38047,train
48285,train
59352,train
79877,train
79294,train
45476,train
51831,train
39122,train
28052,train
35111,train
76973,train
69842,train
1345,train
46165,train
19543,train
16955,train
14629,train
28438,train
1072,train
81614,train
78777,train
99942,train
35831,train
73637,train
27314,train
59062,train
66305,train
73609,train
14014,train
13918,train
9358,train
93362,train
49920,train
96664,train
35357,train
4818,train
54839,train
16940,train
80750,train
64707,train
21018,train
55632,train
58126,train
23664,train
6394,train
81271,train
7239,train
72806,train
95368,train
35817,train
56718,train
77609,train
97916,train
86085,train
80099,train
5951,train
4198,train
100670,train
80672,train
45945,train
81513,train
86739,train
38709,train
26680,train
57647,train
5885,train
17616,train
20962,train
24337,train
4870,train
43646,train
49890,train
95988,train
85183,train
40743,train
31429,train
4433,train
57762,train
95966,train
58390,train
88381,train
87949,train
12618,train
71734,train
95247,train
42045,train
3238,train
42075,train
103762,train
101828,train
96195,train
19569,train
60854,train
82473,train
84443,train
58158,train
73308,train
181,train
52491,train
22950,train
10653,train
41716,train
77926,train
39315,train
70422,train
45610,train
94731,train
13744,train
6046,train
44997,train
22572,train
33457,train
91935,train
20598,train
82608,train
27704,train
86274,train
22463,train
74697,train
19961,train
30130,train
95290,train
40476,train
92563,train
101560,train
66718,train
4235,train
51446,train
31275,train
20725,train
4202,train
58872,train
16310,train
85298,train
401,train
50937,train
38451,train
29521,train
75625,train
71340,train
92,train
24777,train
46028,train
44156,train
81992,train
89814,train
8298,train
86782,train
70018,train
31812,train
69414,train
10851,train
100998,train
96111,train
16746,train
44645,train
50262,train
44466,train
46281,train
19068,train
19093,train
79776,train
14045,train
96636,train
99751,train
59207,train
11530,train
92310,train
78578,train
26468,train
20744,train
23586,train
77177,train
3456,train
50165,train
16508,train
51038,train
16190,train
11540,train
70645,train
51544,train
32383,train
81709,train
84143,train
17245,train
40613,train
86864,train
32879,train
72898,train
10362,train
37450,train
47379,train
50233,train
88670,train
53557,train
74140,train
18697,train
18001,train
33280,train
73829,train
63366,train
96491,train
13534,train
63179,train
96981,train
15177,train
40710,train
51142,train
42796,train
24475,train
29475,train
4273,train
103251,train
34601,train
61815,train
8028,train
76039,train
8396,train
45331,train
67006,train
38828,train
11807,train
82109,train
101369,train
101796,train
103133,train
14938,train
101227,train
81194,train
35181,train
92561,train
16054,train
53813,train
26934,train
41809,train
42768,train
38824,train
23732,train
49443,train
67948,train
14024,train
79025,train
93299,train
26508,train
101786,train
84682,train
72678,train
55298,train
70598,train
71598,train
16679,train
20204,train
48952,train
23461,train
