Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,service_mean,satisfaction
Female,Loyal Customer,47,Business travel,Business,7.3277805384216315,3,3,3,3,5,4,5,4,4,4,4,4,4,3,0.0,0.0,3.9166666666666665,1
Male,disloyal Customer,35,Business travel,Business,7.8582541821860294,3,3,3,4,3,3,5,3,5,5,5,5,4,3,0.0,0.0,3.9166666666666665,0
Female,Loyal Customer,66,Personal Travel,Eco,6.311734809152915,2,4,2,2,5,4,5,4,4,2,4,3,4,5,4.3694478524670215,4.418840607796598,3.6666666666666665,0
Male,disloyal Customer,26,Business travel,Eco,7.146772179452637,5,4,4,1,3,5,3,3,5,1,5,3,4,3,0.0,0.0,3.6666666666666665,1
Male,Loyal Customer,48,Personal Travel,Eco,6.6052979209482015,1,5,0,2,4,0,4,4,5,2,4,3,5,4,4.174387269895637,3.912023005428146,3.0,0
Female,Loyal Customer,46,Business travel,Eco,7.461640392208575,1,3,3,3,4,3,2,1,1,1,1,1,1,3,3.6109179126442243,1.6094379124341003,1.8333333333333333,0
Female,Loyal Customer,14,Personal Travel,Eco Plus,7.902857191280582,1,5,1,3,5,1,5,5,4,3,3,5,4,5,0.0,0.0,3.5,0
Female,disloyal Customer,22,Business travel,Eco Plus,6.393590753950631,2,4,2,3,3,2,3,3,4,2,3,3,3,3,2.5649493574615367,2.1972245773362196,2.75,0
Male,disloyal Customer,42,Business travel,Eco,7.258412150595307,3,3,3,3,1,3,1,1,4,5,2,4,2,1,0.0,0.0,2.5,0
Male,Loyal Customer,29,Business travel,Business,8.028129059431759,1,1,1,1,5,5,5,5,4,3,2,4,1,5,0.0,2.0794415416798357,3.4166666666666665,1
Female,Loyal Customer,35,Business travel,Business,7.396335293800808,3,5,5,5,4,4,4,2,2,2,3,2,2,1,3.367295829986474,3.1354942159291497,2.8333333333333335,0
Male,Loyal Customer,46,Business travel,Eco,6.902742737158593,2,1,1,1,3,2,3,3,1,5,3,2,3,3,0.0,0.0,2.5833333333333335,0
Male,Loyal Customer,26,Business travel,Eco,6.0014148779611505,0,5,0,5,4,0,4,4,4,4,2,3,2,4,4.48863636973214,4.248495242049359,2.5833333333333335,1
Male,Loyal Customer,54,Business travel,Business,7.937731775260109,0,5,1,4,2,5,4,3,3,3,3,5,3,5,2.1972245773362196,1.791759469228055,3.0833333333333335,1
Male,Loyal Customer,59,Personal Travel,Business,7.646353722445999,3,2,3,3,2,4,4,2,2,3,2,4,2,1,0.0,0.0,2.6666666666666665,0
Male,Loyal Customer,51,Business travel,Business,8.1786387885907,2,2,2,2,2,3,4,2,2,2,2,3,2,1,0.0,2.995732273553991,2.25,0
Female,Loyal Customer,32,Personal Travel,Eco,6.70196036600254,3,1,3,4,3,3,3,3,1,1,4,4,3,3,2.9444389791664403,0.0,2.8333333333333335,0
Female,Loyal Customer,38,Business travel,Business,5.517452896464707,3,4,4,4,1,4,3,3,3,3,3,4,3,1,3.332204510175204,3.1780538303479458,2.9166666666666665,0
Female,Loyal Customer,36,Personal Travel,Eco,7.444248649496705,2,4,2,3,3,2,3,3,1,4,3,1,3,3,3.2188758248682006,0.0,2.5,0
Male,Loyal Customer,60,Business travel,Business,7.545918151209323,5,5,2,5,3,4,4,4,4,4,4,3,4,4,0.0,0.0,3.75,1
Female,Loyal Customer,41,Business travel,Business,7.622663951323595,2,2,2,2,4,5,4,4,4,4,4,3,4,4,0.0,2.4849066497880004,3.6666666666666665,1
Female,Loyal Customer,32,Business travel,Business,7.742835955430749,4,4,4,4,5,5,5,5,5,4,3,2,3,5,0.0,0.0,4.166666666666667,1
Female,Loyal Customer,45,Business travel,Business,8.124743020385568,1,1,4,1,3,4,5,4,4,4,4,3,4,3,1.0986122886681098,1.9459101490553132,3.5833333333333335,1
Male,Loyal Customer,58,Business travel,Business,5.8944028342648505,5,2,5,5,5,5,5,4,4,4,4,3,4,3,1.9459101490553132,2.0794415416798357,4.25,1
