source_row,split
38342,train
20703,train
16975,train
33485,train
10928,train
28565,train
5495,train
29388,train
28005,train
11179,train
8511,train
36209,train
25363,train
22345,train
34700,train
38038,train
8245,train
35834,train
33198,train
7700,train
24565,train
33591,train
35835,train
28279,train
25311,train
16934,train
3864,train
28379,train
22346,train
19681,train
21905,train
19143,train
38022,train
36878,train
1693,train
6072,train
10826,train
16367,train
23920,train
8425,train
4773,train
22086,train
5498,train
12322,train
34981,train
28962,train
10710,train
12484,train
16594,train
17869,train
14208,train
21018,train
22165,train
38275,train
4266,train
20937,train
20752,train
6053,train
5479,train
6774,train
19890,train
16461,train
34103,train
15891,train
9812,train
15401,train
31744,train
883,train
15686,train
24813,train
686,train
21348,train
9550,train
14609,train
17035,train
14697,train
16449,train
36178,train
18235,train
26962,train
26017,train
31743,train
28032,train
19330,train
39235,train
14223,train
27998,train
20671,train
11800,train
4636,train
17667,train
31946,train
11841,train
38053,train
1277,train
20534,train
24357,train
20847,train
20922,train
12987,train
19784,train
18412,train
14494,train
9483,train
29072,train
28676,train
11512,train
3629,train
23102,train
31951,train
33301,train
12158,train
8049,train
13781,train
20971,train
5011,train
17737,train
7796,train
15339,train
30591,train
19565,train
18346,train
24075,train
25656,train
6666,train
16952,train
11191,train
1510,train
5025,train
33077,train
4911,train
13969,train
25068,train
19315,train
213,train
25292,train
35678,train
37395,train
39393,train
2410,train
15289,train
22393,train
20843,train
32988,train
36294,train
9337,train
5165,train
37822,train
35179,train
9320,train
33282,train
23171,train
34649,train
27405,train
25422,train
30766,train
4668,train
7833,train
1108,train
4348,train
19519,train
19924,train
16886,train
31707,train
6927,train
1383,train
447,train
28210,train
15446,train
34990,train
2808,train
29246,train
36135,train
7778,train
38523,train
11225,train
5417,train
25707,train
31795,train
29238,train
18241,train
10014,train
29160,train
36697,train
8009,train
27114,train
13850,train
6231,train
2844,train
21561,train
21896,train
27282,train
11258,train
28431,train
28452,train
10893,train
20206,train
15902,train
7203,train
23836,train
17108,train
30735,train
35410,train
26032,train
10032,train
36554,train
24634,train
36190,train
22615,train
34302,train
31637,train
11249,train
3109,train
30757,train
11871,train
11951,train
897,train
8774,train
22755,train
36092,train
31250,train
15415,train
17597,train
9624,train
37161,train
23337,train
39230,train
33434,train
7285,train
10702,train
26078,train
24219,train
2568,train
35496,train
32935,train
26585,train
27930,train
23740,train
31783,train
18436,train
26861,train
25730,train
10382,train
17729,train
2657,train
16506,train
16063,train
18916,train
12850,train
8145,train
16690,train
33333,train
3367,train
3879,train
37420,train
32360,train
37135,train
11948,train
28989,train
38623,train
26554,train
30296,train
12267,train
13843,train
30773,train
12199,train
2592,train
21481,train
1534,train
16190,train
21517,train
33258,train
4386,train
16233,train
27521,train
29785,train
29738,train
37671,train
17831,train
284,train
7076,train
4077,train
39633,train
26688,train
25898,train
38739,train
27524,train
2552,train
4580,train
311,train
39488,train
12507,train
12317,train
4745,train
14382,train
24437,train
35654,train
34784,train
35177,train
20724,train
1593,train
18938,train
16870,train
39612,train
35656,train
11215,train
1148,train
7545,train
55,train
29611,train
21161,train
24863,train
4164,train
15642,train
12231,train
29391,train
32104,train
13990,train
158,train
6543,train
28921,train
18331,train
37534,train
6650,train
38052,train
22519,train
6612,train
35215,train
27734,train
25500,train
1218,train
7368,train
20400,train
33225,train
23496,train
34546,train
4339,train
36627,train
35741,train
22650,train
25272,train
37279,train
19111,train
32701,train
18648,train
33752,train
12312,train
3243,train
36320,train
10687,train
1338,train
19959,train
2266,train
8924,train
6422,train
11042,train
29566,train
30653,train
26249,train
22733,train
27537,train
12808,train
28337,train
22780,train
9368,train
3025,train
2154,train
13178,train
18581,train
1645,train
14045,train
18781,train
24175,train
5776,train
25828,train
11762,train
15753,train
5269,train
32496,train
17992,train
5535,train
13432,train
33384,train
4942,train
35621,train
18297,train
19682,train
21155,train
1959,train
21530,train
8353,train
9727,train
2960,train
19550,train
17048,train
14162,train
27174,train
31311,train
35630,train
6954,train
10492,train
11981,train
5905,train
6880,train
35954,train
13704,train
2155,train
11521,train
14329,train
34109,train
9108,train
5756,train
26444,train
39164,train
17414,train
17293,train
10623,train
12963,train
11099,train
2865,train
722,train
32923,train
25453,train
13691,train
27018,train
26930,train
22324,train
7096,train
14501,train
