Model,R2,RMSE,MAE,Fit seconds
Linear Regression,0.01918897281378429,9876.364884032468,3029.3152106400516,0.1718263999791816
Ridge,0.019180733416502838,9876.406367621466,3028.7727392513534,0.2962600999744609
ElasticNet,0.01903065524321934,9877.161948379733,3019.4261327886857,0.573550199973397
Lasso,0.01896852281958772,9877.47474219769,3026.6736504403907,0.483415300026536
KNN,0.007424002573877764,9935.422523900817,2863.898431391096,0.11762740008998662
SVR,0.005715161908689925,9943.971366968977,2424.005505152177,87.98027709999587
Polynomial Regression,0.004283214464691598,9951.129336578157,3208.5829231584958,2.9659895000513643
Random Forest,-0.027643084910971005,10109.405309420476,3055.353440365034,70.97194700001273
Decision Tree,-0.057960269540791254,10257.443558957952,3085.8038537172947,0.6075240999925882
Gradient Boosting,-0.07403961685350358,10335.098192431553,3059.081772076064,25.817086499999277
